Customer ID,Customer Name,Segment,City,State,Country,Market,Region
MM-18280,Muhammed MacIntyre,Corporate,Zapopan,Jalisco,Mexico,LATAM,North
NZ-18565,Nick Zandusky,Home Office,Joinville,Santa Catarina,Brazil,LATAM,South
MF-18250,Monica Federle,Corporate,Lyon,Rhône-Alpes,France,EU,Central
WB-11850,William Brown,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA
CB-12535,Claudia Bergmann,Corporate,Mexico City,Distrito Federal,Mexico,LATAM,North
CR-12625,Corey Roper,Home Office,Lakewood,New Jersey,United States,US,East
DB-13270,Deborah Brumfield,Home Office,Barcelona,Catalonia,Spain,EU,South
QJ-19255,Quincy Jones,Corporate,Detroit,Michigan,United States,US,Central
EB-13930,Eric Barreto,Consumer,Townsville,Queensland,Australia,APAC,Oceania
AA-375,Allen Armold,Consumer,Lodz,Lodz,Poland,EMEA,EMEA
MC-17425,Mark Cousins,Corporate,Jaipur,Rajasthan,India,APAC,Central Asia
AJ-10795,Anthony Johnson,Corporate,Wigan,England,United Kingdom,EU,North
AJ-945,Ashley Jarboe,Consumer,Mogadishu,Banaadir,Somalia,Africa,Africa
MP-18175,Mike Pelletier,Home Office,Yuci,Shanxi,China,APAC,North Asia
LW-16825,Laurel Workman,Corporate,Deltona,Florida,United States,US,South
FW-14395,Fred Wasserman,Corporate,Antiguo Cuscatlán,La Libertad,El Salvador,LATAM,Central
JH-16180,Justin Hirsh,Consumer,Coventry,England,United Kingdom,EU,North
SP-10860,Sung Pak,Corporate,Ibadan,Oyo,Nigeria,Africa,Africa
Dl-13600,Dorris liebe,Corporate,Seattle,Washington,United States,US,West
MT-17815,Meg Tillman,Consumer,Shanghai,Shanghai,China,APAC,North Asia
JF-5190,Jamie Frazer,Consumer,Beykoz,Istanbul,Turkey,EMEA,EMEA
CS-2460,Chuck Sachs,Consumer,Wad Madani,Gezira,Sudan,Africa,Africa
CT-11995,Carol Triggs,Consumer,Champigny-sur-Marne,Ile-de-France,France,EU,Central
RD-19810,Ross DeVincentis,Home Office,Leverkusen,North Rhine-Westphalia,Germany,EU,Central
JL-5850,John Lucas,Consumer,Nitra,Nitra,Slovakia,EMEA,EMEA
HG-4845,Harry Greene,Consumer,Cairo,Al Qahirah,Egypt,Africa,Africa
DV-3045,Darrin Van Huff,Corporate,Lagos,Lagos,Nigeria,Africa,Africa
JF-15565,Jill Fjeld,Consumer,Manila,National Capital,Philippines,APAC,Southeast Asia
LC-6870,Lena Cacioppo,Consumer,Abha,'Asir,Saudi Arabia,EMEA,EMEA
JL-5835,John Lee,Consumer,Zaria,Kaduna,Nigeria,Africa,Africa
BF-10975,Barbara Fisher,Corporate,Charlotte,North Carolina,United States,US,South
FH-4365,Fred Hopkins,Corporate,Ankara,Ankara,Turkey,EMEA,EMEA
IL-15100,Ivan Liston,Consumer,San Francisco,California,United States,US,West
KB-6600,Ken Brennan,Corporate,Kerman,Kerman,Iran,EMEA,EMEA
DH-3075,Dave Hallsten,Corporate,Istanbul,Istanbul,Turkey,EMEA,EMEA
AG-525,Andy Gerbode,Corporate,Kinshasa,Kinshasa,Democratic Republic of the Congo,Africa,Africa
AS-10630,Ann Steele,Home Office,Philadelphia,Pennsylvania,United States,US,East
MN-17935,Michael Nguyen,Consumer,Hefei,Anhui,China,APAC,North Asia
EM-13960,Eric Murdock,Consumer,Liverpool,England,United Kingdom,EU,North
TB-21055,Ted Butterfield,Consumer,Managua,Managua,Nicaragua,LATAM,Central
FH-14365,Fred Hopkins,Corporate,Drammen,Buskerud,Norway,EU,North
LH-16900,Lena Hernandez,Consumer,New York City,New York,United States,US,East
JS-5595,Jill Stevenson,Corporate,Montréal,Quebec,Canada,Canada,Canada
LB-16795,Laurel Beltran,Home Office,Ayacucho,Ayacucho,Peru,LATAM,South
DL-12865,Dan Lawera,Consumer,New Plymouth,Taranaki,New Zealand,APAC,Oceania
ES-14080,Erin Smith,Corporate,Mexico City,Distrito Federal,Mexico,LATAM,North
GP-14740,Guy Phonely,Corporate,León,León,Nicaragua,LATAM,Central
JL-15130,Jack Lebron,Consumer,Houston,Texas,United States,US,Central
PN-18775,Parhena Norris,Home Office,Jena,Thuringia,Germany,EU,Central
BO-11425,Bobby Odegard,Consumer,Manila,National Capital,Philippines,APAC,Southeast Asia
DB-12910,Daniel Byrd,Home Office,High Wycombe,England,United Kingdom,EU,North
JL-5130,Jack Lebron,Consumer,Cairo,Al Qahirah,Egypt,Africa,Africa
LT-16765,Larry Tron,Consumer,Escondido,California,United States,US,West
CC-12610,Corey Catlett,Corporate,Marseille,Provence-Alpes-Côte d'Azur,France,EU,Central
SW-10755,Steven Ward,Corporate,Kismaayo,Jubbada Hoose,Somalia,Africa,Africa
AC-615,Ann Chong,Corporate,Nairobi,Nairobi,Kenya,Africa,Africa
EH-14185,Evan Henry,Consumer,Santa Clara,Villa Clara,Cuba,LATAM,Caribbean
GH-4665,Greg Hansen,Consumer,Budapest,Budapest,Hungary,EMEA,EMEA
AF-870,Art Ferguson,Consumer,Bukavu,South Kivu,Democratic Republic of the Congo,Africa,Africa
EB-13750,Edward Becker,Corporate,Caracas,Distrito Capital,Venezuela,LATAM,South
NF-18475,Neil Französisch,Home Office,Reno,Nevada,United States,US,West
RA-19915,Russell Applegate,Consumer,Denver,Colorado,United States,US,West
MV-17485,Mark Van Huff,Consumer,Singapore,Singapore,Singapore,APAC,Southeast Asia
DF-13135,David Flashing,Consumer,Slough,England,United Kingdom,EU,North
HR-4770,Hallie Redmond,Home Office,Jeddah,Makkah,Saudi Arabia,EMEA,EMEA
MK-18160,Mike Kennedy,Consumer,Seoul,Seoul,South Korea,APAC,North Asia
LC-7140,Logan Currie,Consumer,Surrey,British Columbia,Canada,Canada,Canada
JG-15115,Jack Garza,Consumer,Messina,Sicily,Italy,EU,South
KH-16630,Ken Heidel,Corporate,Charlotte,North Carolina,United States,US,South
ND-18370,Natalie DeCherney,Consumer,Portland,Oregon,United States,US,West
JG-15805,John Grady,Corporate,Mexico City,Distrito Federal,Mexico,LATAM,North
RB-19330,Randy Bradley,Consumer,Norderstedt,Schleswig-Holstein,Germany,EU,Central
TT-21460,Tonja Turnell,Home Office,El Progreso,Yoro,Honduras,LATAM,Central
CM-1815,Candace McMahon,Corporate,Mwanza,Mwanza,Tanzania,Africa,Africa
DL-12925,Daniel Lacy,Consumer,Long Beach,New York,United States,US,East
BD-11635,Brian Derr,Consumer,Ludhiana,Punjab,India,APAC,Central Asia
KD-16270,Karen Daniels,Consumer,Magdeburg,Saxony-Anhalt,Germany,EU,Central
AA-10480,Andrew Allen,Consumer,Castres,Midi-Pyrénées,France,EU,Central
DG-13300,Deirdre Greer,Corporate,Orange,New Jersey,United States,US,East
CD-2790,Cynthia Delaney,Home Office,Uskudar,Istanbul,Turkey,EMEA,EMEA
JO-15145,Jack O'Briant,Corporate,Richmond,Kentucky,United States,US,South
ML-17410,Maris LaWare,Consumer,Santo Domingo,Santo Domingo,Dominican Republic,LATAM,Caribbean
EA-14035,Erin Ashbrook,Corporate,Mason,Ohio,United States,US,East
AH-75,Adam Hart,Corporate,Kenitra,Gharb-Chrarda-Béni Hssen,Morocco,Africa,Africa
FC-4245,Frank Carlisle,Home Office,Akhisar,Manisa,Turkey,EMEA,EMEA
SJ-10215,Sarah Jordon,Consumer,Mallawi,Al Minya,Egypt,Africa,Africa
PL-18925,Paul Lucas,Home Office,Los Angeles,California,United States,US,West
EM-3825,Elizabeth Moffitt,Corporate,Korce,Korçë,Albania,EMEA,EMEA
SM-20950,Suzanne McNair,Corporate,Chicago,Illinois,United States,US,Central
JD-15790,John Dryer,Consumer,Cosmópolis,São Paulo,Brazil,LATAM,South
RP-19390,Resi Pölking,Consumer,Madison,Wisconsin,United States,US,Central
MG-17875,Michael Grace,Home Office,Genk,Limburg,Belgium,EU,Central
JK-15730,Joe Kamberova,Consumer,Columbus,Ohio,United States,US,East
MC-17605,Matt Connell,Corporate,Houston,Texas,United States,US,Central
YC-21895,Yoseph Carroll,Corporate,Manukau City,Auckland,New Zealand,APAC,Oceania
SL-20155,Sara Luxemburg,Home Office,Valencia,Valenciana,Spain,EU,South
AA-10645,Anna Andreadi,Consumer,Lowell,Massachusetts,United States,US,East
AH-10585,Angele Hood,Consumer,Kabul,Kabul,Afghanistan,APAC,Central Asia
CV-12295,Christina VanderZanden,Consumer,Sucre,Chuquisaca,Bolivia,LATAM,South
SC-20725,Steven Cartwright,Consumer,Paris,Ile-de-France,France,EU,Central
KT-16465,Kean Takahito,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,APAC,Southeast Asia
CB-12415,Christy Brittain,Consumer,Takatsuki,Osaka,Japan,APAC,North Asia
AR-10510,Andrew Roberts,Consumer,Mixco,Guatemala,Guatemala,LATAM,Central
BT-1530,Bradley Talbott,Home Office,Bissau,Bissau,Guinea-Bissau,Africa,Africa
KA-16525,Kelly Andreada,Consumer,Managua,Managua,Nicaragua,LATAM,Central
JM-16195,Justin MacKendrick,Consumer,Valladolid,Castile and León,Spain,EU,South
TR-21325,Toby Ritter,Consumer,San Francisco,California,United States,US,West
TB-21280,Toby Braunhardt,Consumer,Jacksonville,North Carolina,United States,US,South
CM-11830,Cari MacIntyre,Corporate,Choluteca,Choluteca,Honduras,LATAM,Central
BM-11140,Becky Martin,Consumer,Igarassu,Pernambuco,Brazil,LATAM,South
FG-4260,Frank Gastineau,Home Office,Ibadan,Oyo,Nigeria,Africa,Africa
MM-7260,Magdelene Morse,Consumer,St. Catharines,Ontario,Canada,Canada,Canada
EB-13705,Ed Braxton,Corporate,Seville,Andalusía,Spain,EU,South
EB-13840,Ellis Ballard,Corporate,Rosenheim,Bavaria,Germany,EU,Central
BD-11500,Bradley Drucker,Consumer,Green Bay,Wisconsin,United States,US,Central
KL-16645,Ken Lonsdale,Consumer,Barcelona,Catalonia,Spain,EU,South
JM-15580,Jill Matthias,Consumer,London,England,United Kingdom,EU,North
GD-14590,Giulietta Dortch,Corporate,Bangkok,Bangkok,Thailand,APAC,Southeast Asia
DN-13690,Duane Noonan,Consumer,Port Macquarie,New South Wales,Australia,APAC,Oceania
CC-12430,Chuck Clark,Home Office,Bendigo,Victoria,Australia,APAC,Oceania
MZ-17515,Mary Zewe,Corporate,Bekasi,Jawa Barat,Indonesia,APAC,Southeast Asia
NW-8400,Natalie Webber,Consumer,Baghdad,Baghdad,Iraq,EMEA,EMEA
NH-18610,Nicole Hansen,Corporate,Philadelphia,Pennsylvania,United States,US,East
FH-14275,Frank Hawley,Corporate,Las Tunas,Las Tunas,Cuba,LATAM,Caribbean
KN-16705,Kristina Nunn,Home Office,New York City,New York,United States,US,East
RD-19585,Rob Dowd,Consumer,Athens,Georgia,United States,US,South
HL-15040,Hunter Lopez,Consumer,Rajshahi,Rajshahi,Bangladesh,APAC,Central Asia
EB-13870,Emily Burns,Consumer,Sydney,New South Wales,Australia,APAC,Oceania
TM-21490,Tony Molinari,Consumer,Yicheng,Hubei,China,APAC,North Asia
AH-10690,Anna Häberlin,Corporate,Virginia Beach,Virginia,United States,US,South
CS-2355,Christine Sundaresam,Consumer,Rabat,Rabat-Salé-Zemmour-Zaer,Morocco,Africa,Africa
PC-18745,Pamela Coakley,Corporate,Ho Chi Minh City,Ho Chí Minh City,Vietnam,APAC,Southeast Asia
SC-20020,Sam Craven,Consumer,Houston,Texas,United States,US,Central
JK-15325,Jason Klamczynski,Corporate,Suzhou,Anhui,China,APAC,North Asia
CS-11860,Cari Schnelling,Consumer,Lakeland,Florida,United States,US,South
BD-11320,Bill Donatelli,Consumer,Pontoise,Ile-de-France,France,EU,Central
RB-9435,Richard Bierner,Consumer,Sumy,Sumy,Ukraine,EMEA,EMEA
RD-19720,Roger Demir,Consumer,Singapore,Singapore,Singapore,APAC,Southeast Asia
RH-19495,Rick Hansen,Consumer,Jakarta,Jakarta,Indonesia,APAC,Southeast Asia
VD-21670,Valerie Dominguez,Consumer,Yangon,Yangon,Myanmar (Burma),APAC,Southeast Asia
RH-9510,Rick Huthwaite,Home Office,Port Harcourt,Rivers,Nigeria,Africa,Africa
JF-15355,Jay Fein,Consumer,Krefeld,North Rhine-Westphalia,Germany,EU,Central
GA-4515,George Ashbrook,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,Africa,Africa
BV-11245,Benjamin Venier,Corporate,London,England,United Kingdom,EU,North
CJ-12010,Caroline Jumper,Consumer,Apopa,San Salvador,El Salvador,LATAM,Central
SV-20785,Stewart Visinsky,Consumer,Roswell,Georgia,United States,US,South
RB-19465,Rick Bensley,Home Office,Bendigo,Victoria,Australia,APAC,Oceania
BS-11755,Bruce Stewart,Consumer,Singapore,Singapore,Singapore,APAC,Southeast Asia
BK-11260,Berenike Kampe,Consumer,Guayaquil,Guayas,Ecuador,LATAM,South
SW-20755,Steven Ward,Corporate,Groningen,Groningen,Netherlands,EU,Central
DW-13585,Dorothy Wardle,Corporate,Adelaide,South Australia,Australia,APAC,Oceania
RH-19600,Rob Haberlin,Consumer,Marseille,Provence-Alpes-Côte d'Azur,France,EU,Central
AT-10435,Alyssa Tate,Home Office,Jakarta,Jakarta,Indonesia,APAC,Southeast Asia
CK-12325,Christine Kargatis,Home Office,Orem,Utah,United States,US,West
BM-1140,Becky Martin,Consumer,Lagos,Lagos,Nigeria,Africa,Africa
EH-13945,Eric Hoffmann,Consumer,Plainfield,New Jersey,United States,US,East
TD-20995,Tamara Dahlen,Consumer,Dublin,Dublin,Ireland,EU,North
SN-20710,Steve Nguyen,Home Office,Santo Domingo,Santo Domingo,Dominican Republic,LATAM,Caribbean
BP-1230,Benjamin Patterson,Consumer,Port Harcourt,Rivers,Nigeria,Africa,Africa
VG-21805,Vivek Grady,Corporate,Surat,Gujarat,India,APAC,Central Asia
CC-2670,Craig Carreira,Consumer,Accra,Greater Accra,Ghana,Africa,Africa
JS-15940,Joni Sundaresam,Home Office,Tegucigalpa,Francisco Morazán,Honduras,LATAM,Central
NL-18310,Nancy Lomonaco,Home Office,Cestas,Aquitaine,France,EU,Central
AG-675,Anna Gayman,Consumer,Vienna,Vienna,Austria,EMEA,EMEA
BM-11575,Brendan Murry,Corporate,Ningbo,Zhejiang,China,APAC,North Asia
SC-20095,Sanjit Chand,Consumer,Fayetteville,Arkansas,United States,US,South
JJ-15445,Jennifer Jackson,Consumer,Wattrelos,Nord-Pas-de-Calais,France,EU,Central
GA-14515,George Ashbrook,Consumer,Las Pinas,National Capital,Philippines,APAC,Southeast Asia
SB-20170,Sarah Bern,Consumer,Yangzhou,Jiangsu,China,APAC,North Asia
BM-11785,Bryan Mills,Consumer,Buffalo Grove,Illinois,United States,US,Central
AG-10525,Andy Gerbode,Corporate,Houston,Texas,United States,US,Central
JP-15520,Jeremy Pistek,Consumer,Buenos Aires,Buenos Aires,Argentina,LATAM,South
EH-4125,Eugene Hildebrand,Home Office,Mecca,Makkah,Saudi Arabia,EMEA,EMEA
WB-21850,William Brown,Consumer,Chengdu,Sichuan,China,APAC,North Asia
AF-10870,Art Ferguson,Consumer,Port Macquarie,New South Wales,Australia,APAC,Oceania
TH-21100,Thea Hendricks,Consumer,Manila,National Capital,Philippines,APAC,Southeast Asia
KD-16345,Katherine Ducich,Consumer,New York City,New York,United States,US,East
SC-20770,Stewart Carmichael,Corporate,Bhopal,Madhya Pradesh,India,APAC,Central Asia
TS-21655,Trudy Schmidt,Consumer,Vienna,Vienna,Austria,EU,Central
PN-8775,Parhena Norris,Home Office,Fianarantsoa,Haute-Matsiatra,Madagascar,Africa,Africa
SO-10335,Sean O'Donnell,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,Africa,Africa
RB-19435,Richard Bierner,Consumer,Mangalore,Karnataka,India,APAC,Central Asia
CL-12565,Clay Ludtke,Consumer,New York City,New York,United States,US,East
JE-5715,Joe Elijah,Consumer,Izmir,Izmir,Turkey,EMEA,EMEA
BW-11200,Ben Wallace,Consumer,Malang,Jawa Timur,Indonesia,APAC,Southeast Asia
BT-11305,Beth Thompson,Home Office,Lázaro Cárdenas,Michoacán,Mexico,LATAM,North
BD-11560,Brendan Dodson,Home Office,Leipzig,Saxony,Germany,EU,Central
JK-16120,Julie Kriz,Home Office,Fort Lauderdale,Florida,United States,US,South
TB-11520,Tracy Blumstein,Consumer,Sterlitamak,Bashkortostan,Russia,EMEA,EMEA
MH-17290,Marc Harrigan,Home Office,Hamburg,Hamburg,Germany,EU,Central
PR-18880,Patrick Ryan,Consumer,Nuremberg,Bavaria,Germany,EU,Central
SH-20395,Shahid Hopkins,Consumer,San Francisco,California,United States,US,West
CA-12775,Cynthia Arntzen,Consumer,Satna,Madhya Pradesh,India,APAC,Central Asia
MF-7665,Maureen Fritzler,Corporate,Kerman,Kerman,Iran,EMEA,EMEA
DB-13405,Denny Blanton,Consumer,Miramar,Tamaulipas,Mexico,LATAM,North
BS-11365,Bill Shonely,Corporate,Ipswich,England,United Kingdom,EU,North
HA-14920,Helen Andreada,Consumer,Palermo,Sicily,Italy,EU,South
NC-8625,Noah Childs,Corporate,St. John's,Newfoundland,Canada,Canada,Canada
FH-4350,Fred Harton,Consumer,Mersin,Mersin,Turkey,EMEA,EMEA
BS-11665,Brian Stugart,Consumer,Brasília,Federal District,Brazil,LATAM,South
PO-18850,Patrick O'Brill,Consumer,Irving,Texas,United States,US,Central
JH-5985,Joseph Holt,Consumer,Bejaia,Bejaia,Algeria,Africa,Africa
JO-5550,Jesus Ocampo,Home Office,Ibadan,Oyo,Nigeria,Africa,Africa
RM-9675,Robert Marley,Home Office,Budapest,Budapest,Hungary,EMEA,EMEA
NC-18340,Nat Carroll,Consumer,Chigasaki,Kanagawa,Japan,APAC,North Asia
MT-18070,Michelle Tran,Home Office,San Pedro Sula,Cortés,Honduras,LATAM,Central
DP-13165,David Philippe,Consumer,New York City,New York,United States,US,East
AH-10210,Alan Hwang,Consumer,Paris,Ile-de-France,France,EU,Central
LW-7215,Luke Weiss,Consumer,Casablanca,Grand Casablanca,Morocco,Africa,Africa
EB-3750,Edward Becker,Corporate,Sarajevo,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,EMEA,EMEA
RS-19765,Roland Schwarz,Corporate,Singapore,Singapore,Singapore,APAC,Southeast Asia
XP-21865,Xylona Preis,Consumer,Christchurch,Canterbury,New Zealand,APAC,Oceania
ON-18715,Odella Nelson,Corporate,Clinton,Maryland,United States,US,East
NM-18445,Nathan Mautz,Home Office,La Baule-Escoublac,Pays de la Loire,France,EU,Central
JD-16060,Julia Dunbar,Consumer,Changchun,Jilin,China,APAC,North Asia
MG-17680,Maureen Gastineau,Home Office,Offenbach,Hesse,Germany,EU,Central
KN-16390,Katherine Nockton,Corporate,Columbus,Ohio,United States,US,East
RM-19675,Robert Marley,Home Office,Villeurbanne,Rhône-Alpes,France,EU,Central
MD-17860,Michael Dominguez,Corporate,Corpus Christi,Texas,United States,US,Central
TP-11565,Tracy Poddar,Corporate,Diyarbakir,Diyarbakir,Turkey,EMEA,EMEA
KN-16450,Kean Nguyen,Corporate,Huddersfield,England,United Kingdom,EU,North
EM-13825,Elizabeth Moffitt,Corporate,Sandy Springs,Georgia,United States,US,South
MC-17575,Matt Collins,Consumer,Chicago,Illinois,United States,US,Central
LW-6990,Lindsay Williams,Corporate,Mosul,Ninawa,Iraq,EMEA,EMEA
LB-16735,Larry Blacks,Consumer,Manila,National Capital,Philippines,APAC,Southeast Asia
DD-13570,Dorothy Dickinson,Consumer,Southport,England,United Kingdom,EU,North
DP-13390,Dennis Pardue,Home Office,Kuching,Sarawak,Malaysia,APAC,Southeast Asia
JO-5280,Jas O'Carroll,Consumer,Yazd,Yazd,Iran,EMEA,EMEA
NG-8355,Nat Gilpin,Corporate,Mashhad,Razavi Khorasan,Iran,EMEA,EMEA
JG-5115,Jack Garza,Consumer,Dar es Salaam,Dar Es Salaam,Tanzania,Africa,Africa
ML-17755,Max Ludwig,Home Office,Uppsala,Uppsala,Sweden,EU,North
DB-3210,Dean Braden,Consumer,Lagos,Lagos,Nigeria,Africa,Africa
TS-21160,Theresa Swint,Corporate,Zunyi,Guizhou,China,APAC,North Asia
SW-10455,Shaun Weien,Consumer,Luanda,Luanda,Angola,Africa,Africa
CD-12790,Cynthia Delaney,Home Office,San Diego,California,United States,US,West
SC-10230,Scot Coram,Corporate,Elbasan,Elbasan,Albania,EMEA,EMEA
MV-18190,Mike Vittorini,Consumer,Tongi,Dhaka,Bangladesh,APAC,Central Asia
MW-18235,Mitch Willingham,Corporate,Santo Domingo,Santo Domingo,Dominican Republic,LATAM,Caribbean
BW-1200,Ben Wallace,Consumer,Casablanca,Grand Casablanca,Morocco,Africa,Africa
SF-10065,Sandra Flanagan,Consumer,Iasi,Iasi,Romania,EMEA,EMEA
JS-15595,Jill Stevenson,Corporate,Columbus,Ohio,United States,US,East
EJ-14155,Eva Jacobs,Consumer,San Diego,California,United States,US,West
AP-10720,Anne Pryor,Home Office,New York City,New York,United States,US,East
AP-720,Anne Pryor,Home Office,Cairo,Al Qahirah,Egypt,Africa,Africa
CC-2370,Christopher Conant,Consumer,Algiers,Alger,Algeria,Africa,Africa
AJ-960,Astrea Jones,Consumer,Onitsha,Anambra,Nigeria,Africa,Africa
TS-11085,Thais Sissman,Consumer,Jerusalem,Jerusalem,Israel,EMEA,EMEA
RB-19705,Roger Barcio,Home Office,Nantes,Pays de la Loire,France,EU,Central
YS-11880,Yana Sorensen,Corporate,Mashhad,Razavi Khorasan,Iran,EMEA,EMEA
CC-12220,Chris Cortes,Consumer,San Pedro Sula,Cortés,Honduras,LATAM,Central
AJ-10945,Ashley Jarboe,Consumer,Wilmington,North Carolina,United States,US,South
KE-16420,Katrina Edelman,Corporate,Los Angeles,California,United States,US,West
TR-11325,Toby Ritter,Consumer,Dar es Salaam,Dar Es Salaam,Tanzania,Africa,Africa
CC-2475,Cindy Chapman,Consumer,London,Ontario,Canada,Canada,Canada
JR-15670,Jim Radford,Consumer,Baotou,Inner Mongolia,China,APAC,North Asia
EH-3990,Erica Hackney,Consumer,Kisangani,Orientale,Democratic Republic of the Congo,Africa,Africa
AM-10705,Anne McFarland,Consumer,Puebla,Puebla,Mexico,LATAM,North
MV-7485,Mark Van Huff,Consumer,Bujumbura,Bujumbura-Mairie,Burundi,Africa,Africa
JM-15265,Janet Molinari,Corporate,Ho Chi Minh City,Ho Chí Minh City,Vietnam,APAC,Southeast Asia
NC-18415,Nathan Cano,Consumer,Yonkers,New York,United States,US,East
CC-2550,Clay Cheatham,Consumer,Kharkiv,Kharkiv,Ukraine,EMEA,EMEA
SV-20935,Susan Vittorini,Consumer,Melbourne,Victoria,Australia,APAC,Oceania
MS-17365,Maribeth Schnelling,Consumer,Xingtai,Hebei,China,APAC,North Asia
RE-19450,Richard Eichhorn,Consumer,Decatur,Illinois,United States,US,Central
FW-4395,Fred Wasserman,Corporate,Yaounde,Centre,Cameroon,Africa,Africa
RW-9690,Robert Waldorf,Consumer,Dar es Salaam,Dar Es Salaam,Tanzania,Africa,Africa
SF-20065,Sandra Flanagan,Consumer,Brisbane,Queensland,Australia,APAC,Oceania
AR-10345,Alex Russell,Corporate,Aracaju,Sergipe,Brazil,LATAM,South
BD-1635,Brian Derr,Consumer,Corum,Corum,Turkey,EMEA,EMEA
PP-8955,Paul Prost,Home Office,Alexandria,Al Iskandariyah,Egypt,Africa,Africa
AT-435,Alyssa Tate,Home Office,Cape Town,Western Cape,South Africa,Africa,Africa
EB-3930,Eric Barreto,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,Africa,Africa
AY-10555,Andy Yotov,Corporate,Mixco,Guatemala,Guatemala,LATAM,Central
